frame_id,timestamp,diameter,confidence,is_bad_data,diameter_mm
0,0.0,172.0,1.0,False,5.733333333333333
1,0.0166666666666666,171.5,0.0,True,3.2666666666666666
2,0.0333333333333333,171.0,1.0,False,5.7
3,0.05,173.0,1.0,True,5.6
4,0.0666666666666666,175.0,1.0,False,5.833333333333333
5,0.0833333333333333,174.5,1.0,True,5.7
6,0.1,174.0,1.0,False,5.8
7,0.1166666666666666,174.0,1.0,False,5.8
8,0.1333333333333333,172.5,0.7352941036224365,True,4.766666666666667
9,0.15,171.0,1.0,False,5.7
10,0.1666666666666666,171.0,1.0,False,5.7
11,0.1833333333333333,170.0,1.0,False,5.666666666666667
12,0.2,172.5,1.0,True,5.9
13,0.2166666666666666,175.0,1.0,False,5.833333333333333
14,0.2333333333333333,174.75,1.0,True,5.633333333333334
15,0.25,174.5,1.0,True,6.1
16,0.2666666666666666,174.25,1.0,True,5.766666666666667
17,0.2833333333333333,174.0,1.0,False,5.8
18,0.3,173.0,1.0,True,5.933333333333334
19,0.3166666666666666,172.0,1.0,False,5.733333333333333
20,0.3333333333333333,172.0,1.0,False,5.733333333333333
21,0.35,170.0,1.0,True,5.833333333333333
22,0.3666666666666666,168.0,0.9722222089767456,True,8.766666666666667
23,0.3833333333333333,166.0,1.0,True,5.866666666666666
24,0.4,164.0,0.9722222089767456,False,5.466666666666667
25,0.4166666666666667,167.0,0.8611111044883728,True,4.966666666666667
26,0.4333333333333333,170.0,0.25,True,3.1
27,0.45,173.0,1.0,False,5.766666666666667
28,0.4666666666666667,217.0,1.0,True,5.666666666666667
29,0.4833333333333333,261.0,0.9444444179534912,False,8.7
30,0.5,217.0,0.3529411852359772,True,4.833333333333333
31,0.5166666666666666,173.0,1.0,False,5.766666666666667
32,0.5333333333333333,172.5,1.0,True,5.833333333333333
33,0.55,172.0,1.0,False,5.733333333333333
34,0.5666666666666667,171.0,1.0,False,5.7
35,0.5833333333333334,171.0,1.0,True,5.966666666666667
36,0.6,171.0,1.0,False,5.7
