frame_id,timestamp,diameter,confidence,is_bad_data,diameter_mm
0,0.0,149,1.0,False,4.966666666666667
1,0.011111111111111112,163,1.0,False,5.433333333333334
2,0.022222222222222223,148,0.7647058963775635,False,4.933333333333334
3,0.03333333333333333,159,1.0,False,5.3
4,0.044444444444444446,92,0.05882352963089943,True,3.066666666666667
5,0.05555555555555556,71,0.0,True,2.3666666666666667
6,0.06666666666666667,162,1.0,False,5.4
7,0.07777777777777778,-2,-1.0,True,-0.06666666666666667
8,0.08888888888888889,161,1.0,False,5.366666666666666
9,0.1,158,1.0,False,5.266666666666667
10,0.11111111111111112,192,0.7647058963775635,False,6.4
11,0.12222222222222223,159,1.0,False,5.3
12,0.13333333333333333,164,1.0,False,5.466666666666667
13,0.14444444444444446,114,0.6666666865348816,True,3.8
14,0.15555555555555556,168,1.0,False,5.6
15,0.16666666666666669,156,1.0,False,5.2
16,0.17777777777777778,43,0.0882352963089943,True,1.4333333333333333
17,0.18888888888888888,153,0.8333333134651184,False,5.1
18,0.2,53,0.02777777798473835,True,1.7666666666666666
19,0.2111111111111111,168,0.6666666865348816,True,5.6
20,0.22222222222222224,119,0.75,False,3.966666666666667
21,0.23333333333333334,138,0.6388888955116272,True,4.6
22,0.24444444444444446,163,1.0,False,5.433333333333334
23,0.2555555555555556,161,1.0,False,5.366666666666666
24,0.26666666666666666,153,1.0,False,5.1
25,0.2777777777777778,72,0.3529411852359772,True,2.4
26,0.2888888888888889,74,0.6388888955116272,True,2.466666666666667
27,0.3,129,0.6944444179534912,True,4.3
28,0.3111111111111111,159,1.0,False,5.3
29,0.32222222222222224,166,1.0,False,5.533333333333333
30,0.33333333333333337,54,0.4166666567325592,True,1.8
31,0.34444444444444444,122,0.1111111119389534,True,4.066666666666666
32,0.35555555555555557,100,0.44117647409439087,True,3.3333333333333335
33,0.3666666666666667,97,0.6388888955116272,True,3.2333333333333334
34,0.37777777777777777,135,0.4722222089767456,True,4.5
35,0.3888888888888889,70,0.4444444477558136,True,2.3333333333333335
36,0.4,193,0.0833333358168602,True,6.433333333333334
37,0.41111111111111115,162,1.0,False,5.4
38,0.4222222222222222,124,0.65625,True,4.133333333333334
39,0.43333333333333335,162,1.0,False,5.4
40,0.4444444444444445,166,1.0,False,5.533333333333333
41,0.45555555555555555,156,1.0,False,5.2
42,0.4666666666666667,159,1.0,False,5.3
43,0.4777777777777778,157,1.0,False,5.233333333333333
44,0.48888888888888893,162,1.0,False,5.4
45,0.5,160,1.0,False,5.333333333333333
46,0.5111111111111112,185,0.6111111044883728,True,6.166666666666667
47,0.5222222222222223,157,1.0,False,5.233333333333333
48,0.5333333333333333,161,1.0,False,5.366666666666666
49,0.5444444444444445,70,0.5833333134651184,True,2.3333333333333335
50,0.5555555555555556,39,0.0,True,1.3
51,0.5666666666666667,163,1.0,False,5.433333333333334
52,0.5777777777777778,161,1.0,False,5.366666666666666
53,0.5888888888888889,73,0.6111111044883728,True,2.433333333333333
54,0.6,56,0.0,True,1.8666666666666667
55,0.6111111111111112,89,0.6388888955116272,True,2.966666666666667
56,0.6222222222222222,71,0.6285714507102966,True,2.3666666666666667
57,0.6333333333333333,161,1.0,False,5.366666666666666
58,0.6444444444444445,43,0.22857142984867096,True,1.4333333333333333
59,0.6555555555555556,146,0.8888888955116272,False,4.866666666666666
60,0.6666666666666667,59,0.0,True,1.9666666666666666
61,0.6777777777777778,50,0.0833333358168602,True,1.6666666666666667
62,0.6888888888888889,155,1.0,False,5.166666666666667
63,0.7000000000000001,161,1.0,False,5.366666666666666
64,0.7111111111111111,164,1.0,False,5.466666666666667
65,0.7222222222222222,138,0.38235294818878174,True,4.6
66,0.7333333333333334,151,1.0,False,5.033333333333333
67,0.7444444444444445,96,0.25,True,3.2
68,0.7555555555555555,49,0.11428571492433548,True,1.6333333333333333
69,0.7666666666666667,160,1.0,False,5.333333333333333
70,0.7777777777777778,133,0.1388888955116272,True,4.433333333333334
71,0.788888888888889,161,1.0,False,5.366666666666666
72,0.8,137,1.0,False,4.566666666666666
73,0.8111111111111111,70,0.1111111119389534,True,2.3333333333333335
74,0.8222222222222223,41,0.0,True,1.3666666666666667
75,0.8333333333333334,159,1.0,False,5.3
76,0.8444444444444444,158,1.0,False,5.266666666666667
77,0.8555555555555556,99,0.6176470518112183,True,3.3
78,0.8666666666666667,119,0.0,True,3.966666666666667
79,0.8777777777777778,192,0.6666666865348816,True,6.4
80,0.888888888888889,116,0.0,True,3.8666666666666667
81,0.9,123,0.20000000298023224,True,4.1
82,0.9111111111111111,47,0.1666666716337204,True,1.5666666666666667
83,0.9222222222222223,157,1.0,False,5.233333333333333
84,0.9333333333333333,154,0.8611111044883728,False,5.133333333333334
85,0.9444444444444445,138,0.8611111044883728,False,4.6
86,0.9555555555555556,114,0.7222222089767456,True,3.8
87,0.9666666666666667,80,0.0555555559694767,True,2.6666666666666665
88,0.9777777777777779,159,1.0,False,5.3
89,0.9888888888888889,159,1.0,False,5.3
90,1.0,76,0.6000000238418579,True,2.533333333333333
91,1.011111111111111,166,0.8333333134651184,False,5.533333333333333
92,1.0222222222222224,199,0.1111111119389534,True,6.633333333333334
93,1.0333333333333334,151,0.9722222089767456,False,5.033333333333333
94,1.0444444444444445,147,0.8333333134651184,False,4.9
95,1.0555555555555556,61,0.5555555820465088,True,2.033333333333333
96,1.0666666666666667,150,1.0,False,5.0
97,1.0777777777777777,177,0.8055555820465088,False,5.9
98,1.088888888888889,171,0.9722222089767456,False,5.7
99,1.1,152,0.8055555820465088,False,5.066666666666666
