frame_id,timestamp,diameter,confidence,is_bad_data,diameter_mm,was_interpolated
0,0.0,179.19999999999987,1.0,False,5.973333333333333,False
1,0.0333333333333333,180.3999999999999,1.0,False,6.013333333333333,False
2,0.0666666666666666,181.59999999999997,0.9166666865348816,True,6.053333333333333,True
3,0.1,181.19999999999996,1.0,False,6.039999999999999,False
4,0.1333333333333333,179.99999999999997,1.0,False,5.999999999999999,False
5,0.1666666666666666,179.59999999999997,1.0,False,5.9866666666666655,False
6,0.2,179.99999999999997,1.0,False,5.999999999999998,False
7,0.2333333333333333,178.79999999999995,0.9166666865348816,True,5.959999999999999,True
8,0.2666666666666666,179.39999999999998,1.0,False,5.979999999999999,False
9,0.3,180.19999999999996,1.0,False,6.006666666666666,False
10,0.3333333333333333,180.39999999999995,0.75,True,6.013333333333332,True
11,0.3666666666666666,179.79999999999995,1.0,True,5.993333333333332,True
12,0.4,179.49999999999997,1.0,False,5.9833333333333325,False
13,0.4333333333333333,179.09999999999997,1.0,False,5.969999999999999,False
14,0.4666666666666667,178.49999999999997,0.7222222089767456,True,5.949999999999999,True
15,0.5,177.09999999999997,1.0,False,5.903333333333332,False
16,0.5333333333333333,175.09999999999997,1.0,False,5.836666666666665,False
17,0.5666666666666667,172.59999999999997,1.0,False,5.753333333333333,False
18,0.6,168.9142857142857,1.0,False,5.630476190476191,False
19,0.6333333333333333,166.42857142857144,1.0,False,5.547619047619048,False
20,0.6666666666666666,166.0857142857143,1.0,False,5.536190476190476,False
21,0.7,164.97142857142856,1.0,False,5.499047619047619,False
22,0.7333333333333333,162.94285714285715,1.0,False,5.4314285714285715,False
23,0.7666666666666666,161.9142857142857,1.0,False,5.397142857142858,False
24,0.8,163.0,1.0,False,5.433333333333334,False
25,0.8333333333333334,162.05714285714285,1.0,False,5.4019047619047615,False
26,0.8666666666666667,162.79999999999995,1.0,False,5.426666666666666,False
27,0.9,163.19999999999996,1.0,False,5.439999999999999,False
28,0.9333333333333332,163.59999999999997,1.0,False,5.453333333333332,False
29,0.9666666666666668,164.19999999999996,1.0,True,5.473333333333333,True
30,1.0,164.39999999999998,1.0,False,5.479999999999999,False
31,1.0333333333333332,164.79999999999998,1.0,False,5.493333333333332,False
32,1.0666666666666669,165.39999999999995,1.0,False,5.513333333333332,False
33,1.1,166.4857142857143,1.0,False,5.5495238095238095,False
34,1.1333333333333333,168.25714285714287,1.0,False,5.6085714285714285,False
35,1.1666666666666667,169.0857142857143,1.0,False,5.636190476190476,False
36,1.2,168.14285714285714,1.0,False,5.604761904761905,False
37,1.2333333333333334,166.94285714285715,1.0,False,5.564761904761905,False
38,1.2666666666666666,168.6,1.0,False,5.619999999999999,False
39,1.3,169.94285714285715,1.0,False,5.664761904761905,False
40,1.3333333333333333,169.9714285714286,1.0,False,5.6657142857142855,False
41,1.3666666666666667,168.9714285714286,1.0,False,5.632380952380953,False
42,1.4,169.0,1.0,False,5.633333333333333,False
43,1.4333333333333331,168.68571428571428,1.0,False,5.622857142857143,False
44,1.4666666666666666,169.22857142857143,1.0,False,5.640952380952381,False
45,1.5,170.77142857142857,1.0,False,5.692380952380953,False
46,1.5333333333333332,171.22857142857143,1.0,False,5.707619047619048,False
47,1.5666666666666669,171.25714285714287,1.0,False,5.708571428571429,False
48,1.6,171.68571428571428,1.0,False,5.722857142857143,False
49,1.6333333333333333,171.71428571428572,1.0,False,5.723809523809524,False
50,1.6666666666666667,170.6,1.0,False,5.686666666666667,False
51,1.7,171.11428571428573,1.0,False,5.703809523809524,False
52,1.7333333333333334,171.77142857142857,1.0,False,5.725714285714286,False
53,1.7666666666666666,171.9714285714286,1.0,False,5.732380952380953,False
54,1.8,170.71428571428572,1.0,False,5.690476190476191,False
55,1.8333333333333333,172.02857142857144,1.0,False,5.734285714285715,False
56,1.8666666666666667,172.14285714285714,1.0,False,5.738095238095238,False
57,1.9,172.34285714285713,1.0,False,5.744761904761905,False
58,1.9333333333333331,172.0857142857143,1.0,False,5.736190476190476,False
59,1.9666666666666663,173.0,1.0,False,5.766666666666667,False
60,2.0,173.9142857142857,1.0,False,5.797142857142857,False
61,2.033333333333333,173.9142857142857,1.0,False,5.797142857142857,False
62,2.0666666666666664,172.82857142857145,1.0,False,5.760952380952381,False
63,2.1,173.79999999999995,1.0,False,5.793333333333332,False
64,2.1333333333333333,174.09999999999997,1.0,False,5.803333333333333,False
65,2.1666666666666665,174.49999999999997,1.0,False,5.8166666666666655,False
66,2.2,174.89999999999995,1.0,True,5.829999999999998,True
67,2.2333333333333334,174.89999999999998,1.0,False,5.829999999999998,False
68,2.2666666666666666,174.09999999999997,1.0,False,5.803333333333332,False
69,2.3,174.19999999999996,1.0,False,5.806666666666665,False
70,2.3333333333333335,173.88571428571427,1.0,False,5.796190476190477,False
71,2.3666666666666667,173.19999999999996,1.0,False,5.773333333333332,False
72,2.4,172.69999999999996,1.0,False,5.756666666666665,False
73,2.433333333333333,172.49999999999997,1.0,False,5.749999999999998,False
74,2.466666666666667,171.89999999999998,1.0,True,5.7299999999999995,True
75,2.5,171.89999999999998,1.0,False,5.729999999999999,False
76,2.533333333333333,171.49999999999997,1.0,False,5.716666666666666,False
77,2.5666666666666664,171.99999999999997,1.0,False,5.7333333333333325,False
78,2.6,171.54285714285714,1.0,False,5.718095238095239,False
79,2.6333333333333333,172.71428571428572,1.0,False,5.757142857142857,False
80,2.6666666666666665,169.19999999999996,1.0,False,5.639999999999999,False
81,2.7,167.79999999999995,1.0,False,5.593333333333333,False
